ID,name,tactics
T1563.002,Remote Service Session Hijacking: RDP Hijacking,Lateral Movement
T1563.001,Remote Service Session Hijacking: SSH Hijacking,Lateral Movement
T1021,Remote Services,Lateral Movement
T1021.007,Remote Services: Cloud Services,Lateral Movement
T1021.003,Remote Services: Distributed Component Object Model,Lateral Movement
T1021.001,Remote Services: Remote Desktop Protocol,Lateral Movement
T1021.002,Remote Services: SMB/Windows Admin Shares,Lateral Movement
T1021.004,Remote Services: SSH,Lateral Movement
T1021.005,Remote Services: VNC,Lateral Movement
T1021.006,Remote Services: Windows Remote Management,Lateral Movement
T1018,Remote System Discovery,Discovery
T1091,Replication Through Removable Media,"Initial Access, Lateral Movement"
T1496,Resource Hijacking,Impact
T1207,Rogue Domain Controller,Defense Evasion
T1014,Rootkit,Defense Evasion
T1053,Scheduled Task/Job,"Execution, Persistence, Privilege Escalation"
T1053.002,Scheduled Task/Job: At,"Execution, Persistence, Privilege Escalation"
T1053.007,Scheduled Task/Job: Container Orchestration Job,"Execution, Persistence, Privilege Escalation"
T1053.003,Scheduled Task/Job: Cron,"Execution, Persistence, Privilege Escalation"
T1053.005,Scheduled Task/Job: Scheduled Task,"Execution, Persistence, Privilege Escalation"
T1053.006,Scheduled Task/Job: Systemd Timers,"Execution, Persistence, Privilege Escalation"
T1029,Scheduled Transfer,Exfiltration
T1113,Screen Capture,Collection
T1597,Search Closed Sources,Reconnaissance
T1597.002,Search Closed Sources: Purchase Technical Data,Reconnaissance
T1597.001,Search Closed Sources: Threat Intel Vendors,Reconnaissance
T1596,Search Open Technical Databases,Reconnaissance
T1596.004,Search Open Technical Databases: CDNs,Reconnaissance
T1596.001,Search Open Technical Databases: DNS/Passive DNS,Reconnaissance
T1596.003,Search Open Technical Databases: Digital Certificates,Reconnaissance
T1596.005,Search Open Technical Databases: Scan Databases,Reconnaissance
T1596.002,Search Open Technical Databases: WHOIS,Reconnaissance
T1593,Search Open Websites/Domains,Reconnaissance
T1593.003,Search Open Websites/Domains: Code Repositories,Reconnaissance
T1593.002,Search Open Websites/Domains: Search Engines,Reconnaissance
T1593.001,Search Open Websites/Domains: Social Media,Reconnaissance
T1594,Search Victim-Owned Websites,Reconnaissance
T1505,Server Software Component,Persistence
T1505.004,Server Software Component: IIS Components,Persistence
T1505.001,Server Software Component: SQL Stored Procedures,Persistence
T1505.005,Server Software Component: Terminal Services DLL,Persistence
T1505.002,Server Software Component: Transport Agent,Persistence
T1505.003,Server Software Component: Web Shell,Persistence
T1648,Serverless Execution,Execution
T1489,Service Stop,Impact
T1129,Shared Modules,Execution
T1072,Software Deployment Tools,"Execution, Lateral Movement"
T1518,Software Discovery,Discovery
T1518.001,Software Discovery: Security Software Discovery,Discovery
T1608,Stage Capabilities,Resource Development
T1608.004,Stage Capabilities: Drive-by Target,Resource Development
T1608.003,Stage Capabilities: Install Digital Certificate,Resource Development
T1608.005,Stage Capabilities: Link Target,Resource Development
T1608.006,Stage Capabilities: SEO Poisoning,Resource Development
T1608.001,Stage Capabilities: Upload Malware,Resource Development
T1608.002,Stage Capabilities: Upload Tool,Resource Development
T1528,Steal Application Access Token,Credential Access
T1539,Steal Web Session Cookie,Credential Access
T1649,Steal or Forge Authentication Certificates,Credential Access
T1558,Steal or Forge Kerberos Tickets,Credential Access
T1558.004,Steal or Forge Kerberos Tickets: AS-REP Roasting,Credential Access
T1558.001,Steal or Forge Kerberos Tickets: Golden Ticket,Credential Access
T1558.003,Steal or Forge Kerberos Tickets: Kerberoasting,Credential Access
T1558.002,Steal or Forge Kerberos Tickets: Silver Ticket,Credential Access
T1553,Subvert Trust Controls,Defense Evasion
T1553.002,Subvert Trust Controls: Code Signing,Defense Evasion
T1553.006,Subvert Trust Controls: Code Signing Policy Modification,Defense Evasion
T1553.001,Subvert Trust Controls: Gatekeeper Bypass,Defense Evasion
T1553.004,Subvert Trust Controls: Install Root Certificate,Defense Evasion
T1553.005,Subvert Trust Controls: Mark-of-the-Web Bypass,Defense Evasion
T1553.003,Subvert Trust Controls: SIP and Trust Provider Hijacking,Defense Evasion
T1195,Supply Chain Compromise,Initial Access
T1195.003,Supply Chain Compromise: Compromise Hardware Supply Chain,Initial Access
T1195.001,Supply Chain Compromise: Compromise Software Dependencies and Development Tools,Initial Access
T1195.002,Supply Chain Compromise: Compromise Software Supply Chain,Initial Access
T1218,System Binary Proxy Execution,Defense Evasion
T1218.003,System Binary Proxy Execution: CMSTP,Defense Evasion
T1218.001,System Binary Proxy Execution: Compiled HTML File,Defense Evasion
T1218.002,System Binary Proxy Execution: Control Panel,Defense Evasion
T1218.004,System Binary Proxy Execution: InstallUtil,Defense Evasion
T1218.014,System Binary Proxy Execution: MMC,Defense Evasion
T1218.013,System Binary Proxy Execution: Mavinject,Defense Evasion
T1218.005,System Binary Proxy Execution: Mshta,Defense Evasion
T1218.007,System Binary Proxy Execution: Msiexec,Defense Evasion
T1218.008,System Binary Proxy Execution: Odbcconf,Defense Evasion
T1218.009,System Binary Proxy Execution: Regsvcs/Regasm,Defense Evasion
T1218.010,System Binary Proxy Execution: Regsvr32,Defense Evasion
T1218.011,System Binary Proxy Execution: Rundll32,Defense Evasion
T1218.012,System Binary Proxy Execution: Verclsid,Defense Evasion
T1082,System Information Discovery,Discovery
T1614,System Location Discovery,Discovery
T1614.001,System Location Discovery: System Language Discovery,Discovery
T1016,System Network Configuration Discovery,Discovery
T1016.001,System Network Configuration Discovery: Internet Connection Discovery,Discovery
T1049,System Network Connections Discovery,Discovery
T1033,System Owner/User Discovery,Discovery
T1216,System Script Proxy Execution,Defense Evasion
T1216.001,System Script Proxy Execution: PubPrn,Defense Evasion
T1007,System Service Discovery,Discovery
T1569,System Services,Execution
T1569.001,System Services: Launchctl,Execution
T1569.002,System Services: Service Execution,Execution
T1529,System Shutdown/Reboot,Impact
T1124,System Time Discovery,Discovery
T1080,Taint Shared Content,Lateral Movement
T1221,Template Injection,Defense Evasion
T1205,Traffic Signaling,"Command and Control, Defense Evasion, Persistence"
T1205.001,Traffic Signaling: Port Knocking,"Command and Control, Defense Evasion, Persistence"
T1205.002,Traffic Signaling: Socket Filters,"Command and Control, Defense Evasion, Persistence"
T1537,Transfer Data to Cloud Account,Exfiltration
T1127,Trusted Developer Utilities Proxy Execution,Defense Evasion
T1127.001,Trusted Developer Utilities Proxy Execution: MSBuild,Defense Evasion
T1199,Trusted Relationship,Initial Access
T1552,Unsecured Credentials,Credential Access
T1552.003,Unsecured Credentials: Bash History,Credential Access
T1552.008,Unsecured Credentials: Chat Messages,Credential Access
T1552.005,Unsecured Credentials: Cloud Instance Metadata API,Credential Access
T1552.007,Unsecured Credentials: Container API,Credential Access
T1552.001,Unsecured Credentials: Credentials In Files,Credential Access
T1552.002,Unsecured Credentials: Credentials in Registry,Credential Access
T1552.006,Unsecured Credentials: Group Policy Preferences,Credential Access
T1552.004,Unsecured Credentials: Private Keys,Credential Access
T1535,Unused/Unsupported Cloud Regions,Defense Evasion
T1550,Use Alternate Authentication Material,"Defense Evasion, Lateral Movement"
T1550.001,Use Alternate Authentication Material: Application Access Token,"Defense Evasion, Lateral Movement"
T1550.002,Use Alternate Authentication Material: Pass the Hash,"Defense Evasion, Lateral Movement"
T1550.003,Use Alternate Authentication Material: Pass the Ticket,"Defense Evasion, Lateral Movement"
T1550.004,Use Alternate Authentication Material: Web Session Cookie,"Defense Evasion, Lateral Movement"
T1204,User Execution,Execution
T1204.002,User Execution: Malicious File,Execution
T1204.003,User Execution: Malicious Image,Execution
T1204.001,User Execution: Malicious Link,Execution
T1078,Valid Accounts,"Defense Evasion, Initial Access, Persistence, Privilege Escalation"
T1078.004,Valid Accounts: Cloud Accounts,"Defense Evasion, Initial Access, Persistence, Privilege Escalation"
T1078.001,Valid Accounts: Default Accounts,"Defense Evasion, Initial Access, Persistence, Privilege Escalation"
T1078.002,Valid Accounts: Domain Accounts,"Defense Evasion, Initial Access, Persistence, Privilege Escalation"
T1078.003,Valid Accounts: Local Accounts,"Defense Evasion, Initial Access, Persistence, Privilege Escalation"
T1125,Video Capture,Collection
T1497,Virtualization/Sandbox Evasion,"Defense Evasion, Discovery"
T1497.001,Virtualization/Sandbox Evasion: System Checks,"Defense Evasion, Discovery"
T1497.003,Virtualization/Sandbox Evasion: Time Based Evasion,"Defense Evasion, Discovery"
T1497.002,Virtualization/Sandbox Evasion: User Activity Based Checks,"Defense Evasion, Discovery"
T1600,Weaken Encryption,Defense Evasion
T1600.002,Weaken Encryption: Disable Crypto Hardware,Defense Evasion
T1600.001,Weaken Encryption: Reduce Key Space,Defense Evasion
T1102,Web Service,Command and Control
T1102.002,Web Service: Bidirectional Communication,Command and Control
T1102.001,Web Service: Dead Drop Resolver,Command and Control
T1102.003,Web Service: One-Way Communication,Command and Control
T1047,Windows Management Instrumentation,Execution
T1220,XSL Script Processing,Defense Evasion
